0.00736853 0.0262762 0.00413254 0.000805112 0.000186291 
0.00282765 0.00548254 0.000772578 0.00184007 0.000400812 
0.00261613 0.00584707 0.00769428 0.00110141 0.00033322 
0.00805654 0.00120269 0.00030578 0.00200146 0.000359443 
0.00174444 0.00417061 0.00112787 0.00111504 0.00097086 
0.000918228 0.000533736 0.00268454 0.000967673 0.000320504 
0.00188094 0.002167 0.00251307 0.00140513 0.000199937 
0.124722 0.1472 0.133993 0.129938 0.129294 
0.219644 0.227672 0.2261 0.21444 0.213438 
0.200043 0.220843 0.216214 0.204716 0.203571 
0.000498461 0.00313721 0.00206171 0.0010697 0.000182884 
0.00949356 0.0066404 0.00556085 0.00312139 0.000344732 
0.000712386 0.0046098 0.00320032 0.00173656 0.000280549 
0.00998839 0.0163946 0.00438667 0.00117754 0.000359264 
0.00111677 0.0051746 0.00413162 0.0013214 0.000614996 
0.159368 0.176146 0.175062 0.163113 0.16261 
0.16573 0.163685 0.168662 0.166515 0.165892 
0.00940485 0.00778216 0.0132849 0.000826712 0.000199935 
0.0050694 0.00169825 0.00180324 0.000951181 0.000264551 
0.0081491 0.000602569 0.00324661 0.00101066 0.00038697 
