  0.996354  0.000529
  0.985471  0.002092
  0.967508  0.004625
  0.942728  0.008027
  0.911492  0.012167
  0.874255  0.016899
  0.831561  0.022066
  0.784032  0.027507
  0.732362  0.033056
  0.677302  0.038546
  0.619658  0.043801
  0.560268  0.048638
  0.500000  0.052862
  0.439732  0.056273
  0.380342  0.058676
  0.322698  0.059889
  0.267638  0.059765
  0.215968  0.058202
  0.168439  0.055157
  0.125745  0.050651
  0.088508  0.044768
  0.057272  0.037641
  0.032492  0.029437
  0.014529  0.020330
  0.003646  0.010477
  0.000000  0.000000
  0.003646 -0.010477
  0.014529 -0.020330
  0.032492 -0.029437
  0.057272 -0.037641
  0.088508 -0.044768
  0.125745 -0.050651
  0.168439 -0.055157
  0.215968 -0.058202
  0.267638 -0.059765
  0.322698 -0.059889
  0.380342 -0.058676
  0.439732 -0.056273
  0.500000 -0.052862
  0.560268 -0.048638
  0.619658 -0.043801
  0.677302 -0.038546
  0.732362 -0.033056
  0.784032 -0.027507
  0.831561 -0.022066
  0.874255 -0.016899
  0.911492 -0.012167
  0.942728 -0.008027
  0.967508 -0.004625
  0.985471 -0.002092
  0.996354 -0.000529
